SquareFeet,PropertyType,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Floors,Garage,Price
58234,Agricultural Land,0,0.0,Downtown,1950,0,0,10704000.0
2989,Penthouse,3,1.0,Suburban,2002,3,0,25952000.0
1033,Apartment,2,3.0,Downtown,1992,3,1,11407000.0
34767,Agricultural Land,0,0.0,Downtown,1950,0,0,7941000.0
1913,Independent House,4,2.5,Suburban,2023,3,1,18682000.0
121049,Agricultural Land,0,0.0,Suburban,1950,0,0,14995000.0
2544,Penthouse,4,3.0,Suburban,1998,3,1,23781000.0
2635,Independent House,2,1.5,Suburban,2009,2,0,20822000.0
983,Apartment,3,2.0,Downtown,1965,2,1,10522000.0
638,Apartment,3,3.0,Suburban,2022,3,1,9436000.0
2308,Independent House,2,1.5,Suburban,2009,3,1,19102000.0
2621,Villa,3,3.5,Downtown,1996,3,1,27797000.0
1201,Apartment,2,3.0,Rural,1964,3,1,8732000.0
1384,Apartment,3,4.0,Suburban,2012,1,1,12494000.0
2859,Penthouse,4,1.5,Rural,1977,2,0,23601000.0
115455,Agricultural Land,0,0.0,Downtown,1950,0,0,17259000.0
2266,Independent House,2,1.5,Suburban,1969,2,0,18287000.0
1696,Apartment,1,1.5,Suburban,2012,3,1,12636000.0
1078,Apartment,3,3.5,Rural,1982,1,1,8571000.0
1160,Apartment,2,1.5,Suburban,1985,1,1,10051000.0
42922,Agricultural Land,0,0.0,Rural,1950,0,0,4747000.0
775,Apartment,2,2.0,Suburban,1962,1,1,7451000.0
1237,Independent House,4,2.0,Suburban,2011,3,0,13565000.0
1509,Apartment,3,2.0,Rural,2017,1,1,10242000.0
2122,Independent House,3,1.5,Suburban,1972,3,0,17702000.0
4718,Villa,3,2.0,Suburban,2021,1,1,40093000.0
3477,Penthouse,4,3.0,Downtown,1962,3,1,30840000.0
1094,Apartment,1,1.0,Rural,1989,3,1,8044000.0
1546,Apartment,3,3.0,Suburban,1979,2,1,12697000.0
1354,Apartment,2,2.5,Suburban,1974,3,1,10876000.0
55466,Agricultural Land,0,0.0,Downtown,1950,0,0,10131000.0
187920,Agricultural Land,0,0.0,Suburban,1950,0,0,22602000.0
2411,Independent House,3,2.5,Suburban,2022,1,1,20421000.0
1939,Villa,4,2.5,Suburban,1975,2,1,22115000.0
2340,Villa,3,1.5,Suburban,1973,1,1,23483000.0
869,Apartment,1,2.0,Downtown,1988,3,1,9543000.0
100243,Agricultural Land,0,0.0,Suburban,1950,0,0,12836000.0
2890,Independent House,3,2.5,Suburban,2010,2,1,22419000.0
1505,Independent House,3,1.5,Downtown,1998,3,1,16143000.0
2129,Independent House,4,2.0,Suburban,1990,3,1,18923000.0
631,Apartment,3,1.0,Suburban,2019,1,1,8046000.0
1697,Apartment,2,2.5,Rural,1969,1,1,10356000.0
3672,Villa,4,2.0,Downtown,1993,1,1,34292000.0
1692,Apartment,1,2.0,Downtown,1965,2,1,12960000.0
2612,Villa,4,1.0,Suburban,1970,1,0,25162000.0
961,Apartment,3,4.0,Suburban,1964,3,1,10124000.0
2456,Independent House,2,1.5,Downtown,1988,2,0,21114000.0
1528,Apartment,3,2.5,Rural,1991,1,1,10706000.0
1099,Independent House,4,2.0,Suburban,2010,1,1,12572000.0
3481,Villa,3,2.5,Suburban,1953,1,1,31391000.0
608,Apartment,3,1.5,Suburban,1973,3,1,7872000.0
2052,Independent House,3,2.5,Rural,1952,1,0,15046000.0
1920,Independent House,4,2.0,Downtown,1950,3,1,19126000.0
4237,Villa,3,2.0,Downtown,1962,2,0,36989000.0
159127,Agricultural Land,0,0.0,Downtown,1950,0,0,21962000.0
4004,Villa,3,2.5,Suburban,2003,1,0,35068000.0
934,Apartment,1,2.5,Rural,1989,3,1,6918000.0
859,Apartment,3,2.5,Suburban,1960,1,1,8090000.0
681,Apartment,2,3.0,Downtown,1991,1,1,8812000.0
1753,Independent House,2,1.5,Downtown,1953,2,1,16529000.0
1795,Apartment,2,3.5,Suburban,1974,2,1,13748000.0
1719,Independent House,2,1.0,Downtown,1985,3,1,16887000.0
1074,Independent House,3,2.5,Rural,2013,3,1,11197000.0
1225,Apartment,2,2.0,Downtown,1993,3,0,11796000.0
1561,Penthouse,4,2.0,Downtown,1989,2,1,18686000.0
1473,Apartment,2,1.5,Downtown,1994,3,1,13065000.0
919,Apartment,1,2.0,Rural,1957,2,1,6534000.0
3949,Villa,5,1.5,Suburban,1984,2,0,35043000.0
2452,Independent House,4,2.0,Rural,1993,1,1,18694000.0
2673,Villa,5,1.0,Suburban,1967,1,1,26204000.0
2745,Independent House,3,2.0,Downtown,1996,3,1,22930000.0
1553,Apartment,1,1.0,Suburban,1974,2,1,11132000.0
1754,Penthouse,4,1.5,Suburban,1990,2,1,17959000.0
3055,Penthouse,4,1.0,Suburban,1954,2,1,26212000.0
4417,Villa,3,2.0,Suburban,2013,1,1,37818000.0
711,Apartment,2,3.0,Downtown,2011,2,0,9422000.0
1460,Independent House,2,3.5,Downtown,2021,3,1,16112000.0
1886,Independent House,2,1.0,Suburban,1952,3,1,16212000.0
1715,Apartment,1,2.5,Suburban,1986,1,1,12444000.0
58223,Agricultural Land,0,0.0,Rural,1950,0,0,7068000.0
1119,Apartment,2,2.5,Suburban,1990,3,1,10383000.0
113857,Agricultural Land,0,0.0,Rural,1950,0,0,12850000.0
3283,Independent House,4,2.0,Suburban,1969,2,0,24856000.0
1526,Apartment,2,2.5,Downtown,2016,2,1,13543000.0
1556,Independent House,3,1.5,Rural,1989,3,0,12721000.0
210346,Agricultural Land,0,0.0,Suburban,1950,0,0,25566000.0
2855,Villa,3,2.0,Suburban,1957,1,0,26224000.0
2812,Penthouse,3,2.0,Suburban,1954,2,1,24392000.0
2378,Villa,5,1.0,Suburban,1974,2,1,24660000.0
2341,Villa,5,2.5,Suburban,1988,1,1,24594000.0
1613,Penthouse,4,2.0,Rural,1986,2,1,16169000.0
803,Apartment,1,1.5,Suburban,1954,3,0,7356000.0
2052,Independent House,4,2.0,Suburban,1957,3,0,17702000.0
1242,Apartment,3,2.5,Suburban,1953,1,1,10193000.0
51314,Agricultural Land,0,0.0,Downtown,1950,0,0,10030000.0
63213,Agricultural Land,0,0.0,Suburban,1950,0,0,9577000.0
1504,Apartment,1,3.0,Downtown,1990,1,1,12783000.0
3745,Villa,4,2.5,Suburban,2009,3,0,33973000.0
92228,Agricultural Land,0,0.0,Rural,1950,0,0,9989000.0
1114,Apartment,3,2.0,Suburban,2003,1,1,10586000.0
1429,Independent House,2,2.0,Downtown,1971,3,1,15186000.0
116300,Agricultural Land,0,0.0,Suburban,1950,0,0,14911000.0
1764,Apartment,3,2.0,Rural,1968,1,1,11318000.0
4590,Villa,5,1.0,Suburban,2017,3,0,39485000.0
1274,Apartment,1,2.0,Rural,1982,2,1,8655000.0
180341,Agricultural Land,0,0.0,Suburban,1950,0,0,22163000.0
67565,Agricultural Land,0,0.0,Downtown,1950,0,0,11834000.0
23362,Agricultural Land,0,0.0,Downtown,1950,0,0,6930000.0
1808,Independent House,4,2.0,Suburban,1971,2,1,16604000.0
146281,Agricultural Land,0,0.0,Suburban,1950,0,0,18259000.0
1530,Penthouse,4,2.0,Rural,2014,3,0,15903000.0
646,Apartment,3,3.5,Suburban,1960,2,0,7417000.0
1629,Penthouse,3,2.5,Suburban,1965,3,0,17327000.0
951,Apartment,2,1.5,Downtown,2017,1,1,10731000.0
1977,Independent House,3,1.5,Suburban,1993,2,1,17389000.0
657,Apartment,3,1.0,Downtown,1958,2,0,8384000.0
1729,Apartment,1,2.5,Suburban,2021,2,1,13655000.0
1411,Apartment,3,2.5,Downtown,2011,3,1,13823000.0
3153,Villa,5,4.0,Downtown,1964,2,1,31936000.0
1367,Apartment,2,2.0,Downtown,1955,1,1,11755000.0
2482,Villa,4,3.0,Downtown,1950,2,1,26599000.0
1785,Apartment,2,2.0,Suburban,1969,1,1,12772000.0
1596,Apartment,3,3.0,Downtown,1985,2,1,13770000.0
3333,Independent House,4,2.5,Rural,1951,2,0,22628000.0
2594,Penthouse,3,2.5,Suburban,2019,1,1,23850000.0
1485,Apartment,3,2.0,Suburban,1951,2,1,11668000.0
2196,Villa,5,2.5,Suburban,1952,1,0,23470000.0
15905,Agricultural Land,0,0.0,Suburban,1950,0,0,3716000.0
2112,Villa,4,2.0,Downtown,1956,1,0,23421000.0
725,Apartment,2,1.0,Rural,2013,1,1,6022000.0
1410,Apartment,2,1.0,Suburban,1990,2,0,11049000.0
90318,Agricultural Land,0,0.0,Downtown,1950,0,0,14324000.0
1409,Apartment,2,2.0,Suburban,2003,2,0,11505000.0
178827,Agricultural Land,0,0.0,Suburban,1950,0,0,21286000.0
2507,Independent House,3,2.0,Downtown,1990,1,1,21362000.0
135064,Agricultural Land,0,0.0,Rural,1950,0,0,15023000.0
3394,Penthouse,3,1.0,Downtown,1954,2,1,28517000.0
199027,Agricultural Land,0,0.0,Suburban,1950,0,0,23460000.0
1596,Independent House,2,1.5,Rural,2012,3,0,12809000.0
1599,Penthouse,3,1.5,Downtown,1950,1,1,17823000.0
1615,Independent House,3,2.0,Downtown,1974,1,1,16149000.0
1947,Independent House,3,1.5,Downtown,1995,3,1,18612000.0
3381,Villa,4,1.0,Downtown,1964,3,1,32343000.0
143306,Agricultural Land,0,0.0,Downtown,1950,0,0,19692000.0
66659,Agricultural Land,0,0.0,Rural,1950,0,0,7261000.0
3149,Penthouse,3,1.5,Rural,2018,1,0,24374000.0
1490,Independent House,3,1.5,Suburban,1966,3,0,14176000.0
1254,Independent House,2,3.0,Suburban,1970,1,1,12895000.0
4228,Villa,4,1.5,Rural,2002,2,0,34881000.0
1491,Apartment,3,2.5,Suburban,2004,3,1,12405000.0
1141,Apartment,1,2.0,Suburban,1959,1,1,9467000.0
2287,Independent House,4,4.0,Suburban,2006,1,1,19506000.0
1424,Apartment,1,1.5,Downtown,2014,1,1,12334000.0
1478,Apartment,2,1.5,Rural,1986,3,1,9967000.0
1738,Apartment,2,1.0,Suburban,1956,2,1,12554000.0
880,Apartment,3,1.5,Suburban,2025,2,1,10056000.0
1372,Apartment,2,2.5,Suburban,1989,3,1,12292000.0
80508,Agricultural Land,0,0.0,Suburban,1950,0,0,10977000.0
1327,Independent House,2,1.0,Downtown,1999,1,0,13641000.0
3258,Independent House,3,1.5,Suburban,1950,1,0,24487000.0
4574,Villa,4,3.0,Rural,1969,1,0,36952000.0
1522,Apartment,1,2.0,Downtown,1980,3,0,12925000.0
12888,Agricultural Land,0,0.0,Rural,1950,0,0,1490000.0
1525,Penthouse,3,1.0,Suburban,2017,3,1,17417000.0
626,Apartment,3,1.0,Downtown,1961,1,1,8189000.0
1701,Independent House,3,1.0,Suburban,1971,1,1,15409000.0
118515,Agricultural Land,0,0.0,Rural,1950,0,0,13098000.0
50451,Agricultural Land,0,0.0,Suburban,1950,0,0,7765000.0
3460,Independent House,2,3.5,Suburban,1950,1,1,24683000.0
1966,Villa,5,3.0,Suburban,1950,3,1,22764000.0
768,Apartment,3,3.0,Suburban,1952,3,0,8495000.0
39137,Agricultural Land,0,0.0,Downtown,1950,0,0,8987000.0
828,Apartment,2,3.5,Downtown,2025,2,1,11283000.0
161810,Agricultural Land,0,0.0,Downtown,1950,0,0,22184000.0
2166,Villa,3,2.0,Downtown,1970,1,0,23979000.0
2327,Villa,5,1.5,Downtown,1962,1,1,25805000.0
1790,Independent House,3,2.0,Suburban,2010,2,0,16309000.0
1123,Apartment,2,2.5,Suburban,1962,1,1,9737000.0
1695,Apartment,2,3.0,Downtown,1982,2,1,14251000.0
705,Apartment,2,2.0,Downtown,1955,3,1,8913000.0
1331,Apartment,3,2.0,Downtown,1974,2,0,11999000.0
3408,Penthouse,3,3.5,Suburban,1972,2,1,29004000.0
2305,Independent House,3,1.0,Downtown,1975,3,1,19964000.0
732,Apartment,2,3.0,Suburban,1953,1,0,7455000.0
62719,Agricultural Land,0,0.0,Suburban,1950,0,0,8801000.0
189993,Agricultural Land,0,0.0,Suburban,1950,0,0,23037000.0
148647,Agricultural Land,0,0.0,Suburban,1950,0,0,19041000.0
102401,Agricultural Land,0,0.0,Downtown,1950,0,0,15507000.0
617,Apartment,3,1.5,Downtown,1984,2,1,8562000.0
2777,Independent House,3,2.0,Downtown,2024,2,1,23443000.0
1616,Penthouse,4,1.5,Downtown,1974,1,1,18467000.0
2597,Villa,3,2.5,Downtown,1969,2,1,27061000.0
1767,Apartment,2,2.0,Suburban,1950,3,1,12653000.0
3240,Penthouse,3,2.0,Downtown,2017,2,0,28743000.0
1150,Apartment,1,3.0,Rural,1972,1,0,7026000.0
1528,Apartment,3,2.5,Downtown,1971,1,0,12882000.0
2711,Independent House,2,2.5,Suburban,2011,2,0,20870000.0
1752,Independent House,2,1.5,Suburban,1950,1,1,15387000.0
3469,Independent House,3,3.0,Suburban,2008,1,0,25358000.0
1245,Apartment,2,1.5,Suburban,2017,2,1,11021000.0
176153,Agricultural Land,0,0.0,Suburban,1950,0,0,21431000.0
1277,Apartment,2,1.5,Rural,1968,2,1,8480000.0
705,Apartment,3,1.0,Suburban,1979,1,1,7944000.0
158983,Agricultural Land,0,0.0,Downtown,1950,0,0,21969000.0
131286,Agricultural Land,0,0.0,Suburban,1950,0,0,16833000.0
111660,Agricultural Land,0,0.0,Downtown,1950,0,0,16863000.0
2341,Penthouse,4,2.0,Rural,1950,2,1,20404000.0
3608,Villa,4,3.0,Suburban,1997,3,1,33047000.0
2782,Independent House,2,1.5,Downtown,1968,2,1,21890000.0
1045,Apartment,2,2.0,Downtown,2001,1,0,11025000.0
2948,Independent House,3,3.0,Downtown,1971,3,1,24335000.0
3117,Independent House,3,2.5,Rural,1999,1,0,21087000.0
749,Apartment,2,2.5,Rural,2015,1,1,6416000.0
2573,Villa,3,1.5,Downtown,1955,3,1,26771000.0
2561,Independent House,3,2.5,Suburban,2013,2,0,20702000.0
1722,Apartment,1,1.5,Rural,1970,1,1,10214000.0
1543,Apartment,3,4.0,Downtown,1968,2,0,13220000.0
2254,Villa,4,2.0,Downtown,1986,2,1,25174000.0
1727,Apartment,2,2.5,Suburban,2012,3,1,13594000.0
29442,Agricultural Land,0,0.0,Downtown,1950,0,0,7327000.0
1724,Independent House,3,1.0,Downtown,1978,1,1,16533000.0
3280,Independent House,2,1.5,Rural,2009,3,1,22384000.0
2417,Independent House,3,1.0,Suburban,1983,3,1,19357000.0
3024,Penthouse,4,2.0,Suburban,1950,1,1,25659000.0
850,Apartment,3,1.5,Suburban,1997,1,1,8926000.0
3344,Villa,3,2.5,Suburban,1970,3,1,30559000.0
1078,Independent House,2,1.0,Suburban,1983,3,1,11773000.0
1675,Apartment,3,2.5,Downtown,1975,3,1,13904000.0
93671,Agricultural Land,0,0.0,Downtown,1950,0,0,15036000.0
2280,Penthouse,4,1.0,Suburban,1985,1,1,21828000.0
2025,Villa,3,1.5,Downtown,1972,1,0,22913000.0
157252,Agricultural Land,0,0.0,Downtown,1950,0,0,21706000.0
96303,Agricultural Land,0,0.0,Suburban,1950,0,0,12682000.0
2541,Villa,4,2.5,Downtown,1996,3,1,27430000.0
1630,Penthouse,4,2.5,Rural,2025,1,1,16895000.0
4870,Villa,5,2.0,Suburban,1993,1,1,41228000.0
4479,Villa,3,1.0,Downtown,1969,1,0,37753000.0
4685,Villa,3,2.5,Downtown,1976,2,1,40060000.0
2258,Penthouse,3,2.0,Suburban,2010,2,1,21927000.0
1303,Apartment,3,1.5,Suburban,1986,3,1,11024000.0
131197,Agricultural Land,0,0.0,Suburban,1950,0,0,16461000.0
31603,Agricultural Land,0,0.0,Suburban,1950,0,0,5704000.0
1214,Apartment,2,2.5,Suburban,2001,2,1,10515000.0
1828,Penthouse,4,2.0,Rural,2024,3,1,17866000.0
732,Apartment,3,1.0,Suburban,2011,3,0,8367000.0
1434,Apartment,2,3.5,Suburban,2015,1,0,11478000.0
4498,Villa,5,2.5,Suburban,1973,3,0,38359000.0
720,Apartment,2,1.0,Rural,1961,3,1,5410000.0
2105,Penthouse,4,2.0,Suburban,1965,3,0,20162000.0
2975,Penthouse,3,1.0,Suburban,1985,3,0,25417000.0
1964,Independent House,2,3.0,Suburban,1951,1,0,16207000.0
728,Apartment,1,2.5,Suburban,2011,1,1,7843000.0
1714,Apartment,3,1.5,Downtown,2013,3,1,14382000.0
3398,Villa,5,1.0,Suburban,1978,2,1,31755000.0
94998,Agricultural Land,0,0.0,Downtown,1950,0,0,14563000.0
3347,Villa,5,1.0,Downtown,2023,2,1,33601000.0
932,Apartment,1,2.0,Rural,1980,3,0,6843000.0
2953,Villa,4,2.5,Suburban,1964,1,1,27569000.0
2316,Independent House,2,1.0,Downtown,2004,3,0,20306000.0
2696,Penthouse,3,1.5,Downtown,1982,3,1,25174000.0
1543,Apartment,2,1.5,Suburban,2001,1,0,11315000.0
2547,Penthouse,4,1.5,Suburban,1969,2,0,22903000.0
2429,Independent House,3,2.0,Downtown,2022,3,0,21714000.0
161892,Agricultural Land,0,0.0,Downtown,1950,0,0,22265000.0
1797,Apartment,2,2.0,Downtown,1987,1,1,14324000.0
1828,Villa,3,2.5,Downtown,1952,1,0,21034000.0
58683,Agricultural Land,0,0.0,Downtown,1950,0,0,11038000.0
1613,Apartment,3,4.0,Suburban,2003,3,1,13333000.0
17401,Agricultural Land,0,0.0,Downtown,1950,0,0,6527000.0
2150,Villa,3,3.5,Downtown,2015,1,1,24780000.0
1153,Apartment,2,2.0,Rural,1967,3,1,7960000.0
898,Apartment,3,2.5,Rural,1956,2,1,7695000.0
3543,Villa,5,3.5,Downtown,1984,3,1,34736000.0
663,Apartment,1,1.0,Downtown,2009,2,1,8858000.0
1754,Independent House,2,1.0,Suburban,1973,1,1,15204000.0
1369,Apartment,1,1.0,Suburban,1988,3,0,10184000.0
3038,Villa,5,2.0,Rural,1961,1,1,26940000.0
1433,Apartment,3,2.5,Suburban,2002,3,1,12859000.0
150944,Agricultural Land,0,0.0,Suburban,1950,0,0,18191000.0
181301,Agricultural Land,0,0.0,Rural,1950,0,0,20313000.0
39366,Agricultural Land,0,0.0,Suburban,1950,0,0,6749000.0
3018,Villa,5,2.0,Downtown,2013,1,1,31056000.0
1105,Apartment,2,2.0,Suburban,1953,2,1,9270000.0
2857,Penthouse,4,2.0,Downtown,1954,3,1,26327000.0
1392,Apartment,2,1.0,Downtown,1965,1,1,11842000.0
1432,Apartment,1,1.5,Suburban,1976,3,1,11247000.0
1457,Apartment,3,1.0,Downtown,1953,3,1,13114000.0
2416,Independent House,2,1.0,Downtown,2021,2,0,20430000.0
2305,Penthouse,4,3.0,Rural,1997,1,0,20328000.0
2972,Villa,5,3.0,Suburban,1957,3,1,28333000.0
1760,Independent House,2,3.0,Downtown,1995,3,0,17190000.0
1432,Apartment,2,2.5,Downtown,1993,3,0,13098000.0
92421,Agricultural Land,0,0.0,Downtown,1950,0,0,14716000.0
1378,Independent House,4,2.5,Downtown,2016,3,1,16009000.0
1197,Independent House,3,2.5,Rural,2001,3,1,11878000.0
1614,Apartment,3,2.5,Downtown,1983,1,1,13392000.0
2523,Penthouse,3,2.5,Suburban,2011,3,1,24104000.0
2355,Villa,5,2.0,Downtown,1970,3,0,25836000.0
955,Apartment,2,2.0,Rural,1973,3,1,7125000.0
1640,Apartment,3,2.5,Suburban,1993,1,1,12774000.0
4486,Villa,3,1.5,Rural,1990,3,1,36378000.0
2178,Villa,5,2.0,Suburban,1978,3,1,24567000.0
1279,Apartment,2,2.0,Rural,1955,2,1,8765000.0
80109,Agricultural Land,0,0.0,Rural,1950,0,0,8668000.0
1498,Apartment,1,1.5,Suburban,2005,2,0,10963000.0
1075,Independent House,3,4.0,Downtown,1963,3,1,13447000.0
178849,Agricultural Land,0,0.0,Downtown,1950,0,0,24066000.0
1961,Independent House,4,1.5,Downtown,1999,3,1,18998000.0
4149,Villa,4,1.5,Downtown,2001,2,0,37444000.0
3262,Independent House,4,1.5,Suburban,1950,1,1,23866000.0
1781,Apartment,1,3.0,Suburban,1961,1,1,12462000.0
39626,Agricultural Land,0,0.0,Suburban,1950,0,0,5923000.0
2108,Independent House,3,2.0,Downtown,1973,2,1,19451000.0
207818,Agricultural Land,0,0.0,Downtown,1950,0,0,26979000.0
1210,Apartment,2,2.5,Downtown,1986,3,1,11714000.0
1608,Apartment,3,3.0,Suburban,2019,2,1,13636000.0
1561,Apartment,2,1.5,Suburban,2025,1,1,11825000.0
4575,Villa,4,1.5,Downtown,1952,2,1,39901000.0
1672,Independent House,2,1.5,Suburban,1976,1,0,14353000.0
65906,Agricultural Land,0,0.0,Suburban,1950,0,0,9215000.0
2700,Independent House,4,2.5,Rural,2002,3,0,19319000.0
214216,Agricultural Land,0,0.0,Downtown,1950,0,0,28037000.0
630,Apartment,3,2.5,Suburban,1966,3,0,8406000.0
113805,Agricultural Land,0,0.0,Downtown,1950,0,0,16440000.0
2900,Penthouse,3,1.5,Suburban,1964,3,1,25540000.0
2653,Penthouse,3,1.0,Suburban,1988,1,1,23460000.0
2116,Penthouse,3,1.0,Suburban,1953,2,1,20192000.0
2038,Penthouse,3,2.5,Downtown,1966,3,1,21141000.0
4586,Villa,3,1.0,Downtown,1960,1,0,38619000.0
1625,Apartment,1,1.0,Suburban,1961,3,0,11458000.0
1470,Apartment,3,2.0,Suburban,1981,2,1,11913000.0
134030,Agricultural Land,0,0.0,Suburban,1950,0,0,16788000.0
4929,Villa,3,2.5,Rural,1976,3,0,38486000.0
2912,Penthouse,4,2.5,Suburban,1993,1,0,25696000.0
1940,Independent House,3,2.0,Suburban,1992,1,1,17141000.0
940,Apartment,2,2.5,Suburban,1998,3,1,9945000.0
1460,Apartment,3,2.0,Rural,2022,3,0,10417000.0
2843,Villa,3,4.0,Suburban,1992,1,1,28510000.0
1037,Independent House,3,1.5,Downtown,1952,3,1,13655000.0
1259,Apartment,3,2.5,Suburban,1978,3,0,10959000.0
3033,Independent House,3,2.0,Rural,1984,3,1,21333000.0
1527,Apartment,1,1.5,Downtown,1997,2,1,12570000.0
2049,Independent House,4,2.5,Suburban,2023,2,0,17964000.0
1053,Apartment,2,1.5,Rural,1988,2,1,7517000.0
3204,Penthouse,3,2.0,Suburban,1973,3,1,27057000.0
1336,Apartment,2,2.0,Suburban,1969,1,1,10405000.0
1818,Independent House,3,1.5,Downtown,1964,3,1,17597000.0
1372,Apartment,1,2.0,Suburban,2025,3,1,11063000.0
612,Apartment,1,2.0,Downtown,1967,2,0,7537000.0
1920,Independent House,3,2.5,Rural,2009,1,1,14651000.0
1824,Independent House,4,2.5,Suburban,1990,2,1,16631000.0
4218,Villa,5,1.5,Suburban,2018,1,0,36677000.0
931,Apartment,1,2.0,Suburban,2024,3,1,9649000.0
4108,Villa,4,3.0,Downtown,1960,3,0,37652000.0
131014,Agricultural Land,0,0.0,Downtown,1950,0,0,18193000.0
3394,Penthouse,3,1.0,Downtown,2005,3,1,29987000.0
1296,Apartment,2,2.0,Suburban,1967,1,1,10136000.0
1949,Independent House,3,2.5,Suburban,1961,2,1,17076000.0
986,Apartment,1,2.5,Suburban,1965,2,1,9061000.0
1420,Apartment,3,1.0,Suburban,1976,2,1,11850000.0
204088,Agricultural Land,0,0.0,Rural,1950,0,0,23368000.0
668,Apartment,1,2.0,Downtown,1966,1,1,8561000.0
2781,Independent House,3,2.0,Suburban,1980,1,1,21363000.0
4047,Villa,3,4.0,Downtown,1984,3,0,36402000.0
4063,Villa,5,1.5,Suburban,1976,2,1,35916000.0
2969,Independent House,4,4.0,Downtown,1981,1,0,24495000.0
811,Apartment,2,2.0,Suburban,1966,2,1,7938000.0
1107,Apartment,1,1.5,Downtown,1960,2,1,10591000.0
3063,Independent House,4,2.0,Downtown,1950,1,0,23818000.0
1483,Apartment,1,2.5,Rural,1998,1,1,9130000.0
1331,Independent House,4,1.5,Downtown,1990,3,1,15517000.0
1316,Apartment,2,1.5,Suburban,1969,3,0,10249000.0
1150,Apartment,2,3.0,Suburban,2020,3,1,10663000.0
2624,Independent House,2,4.0,Suburban,1986,2,0,20850000.0
1541,Apartment,2,1.5,Suburban,1965,2,0,11476000.0
3303,Independent House,4,1.0,Suburban,1988,3,1,24863000.0
4839,Villa,4,2.5,Downtown,1994,2,1,42289000.0
3289,Penthouse,3,2.5,Downtown,2013,2,1,29707000.0
1327,Apartment,3,1.0,Suburban,1996,2,0,11171000.0
1479,Apartment,2,3.5,Suburban,1972,2,1,11690000.0
1414,Apartment,3,1.0,Rural,1981,1,1,9268000.0
2448,Villa,5,2.5,Suburban,1998,1,1,25453000.0
2799,Villa,3,2.0,Suburban,1968,3,1,26739000.0
1070,Apartment,1,2.0,Rural,2016,3,0,7871000.0
29864,Agricultural Land,0,0.0,Suburban,1950,0,0,5586000.0
1299,Apartment,1,1.5,Suburban,1988,2,1,10274000.0
2009,Independent House,3,2.5,Suburban,2009,2,1,18003000.0
3350,Villa,3,3.5,Suburban,1960,1,1,31084000.0
57573,Agricultural Land,0,0.0,Suburban,1950,0,0,8641000.0
4678,Villa,5,2.0,Downtown,1998,2,1,41257000.0
2848,Penthouse,4,2.0,Suburban,1964,2,1,25132000.0
813,Apartment,2,1.5,Downtown,2010,3,0,9585000.0
2731,Penthouse,4,3.0,Downtown,1992,2,1,26309000.0
768,Apartment,2,4.0,Suburban,1964,1,0,8067000.0
168277,Agricultural Land,0,0.0,Downtown,1950,0,0,22465000.0
1977,Independent House,4,2.5,Suburban,2022,2,1,18126000.0
2828,Penthouse,3,2.0,Rural,1954,2,0,21647000.0
1145,Independent House,2,3.5,Rural,1978,2,1,10397000.0
3598,Villa,4,1.5,Suburban,2011,2,1,33018000.0
1515,Independent House,2,2.0,Suburban,2009,2,0,14483000.0
4961,Villa,5,2.0,Suburban,2018,1,1,42397000.0
1052,Apartment,2,2.0,Suburban,1971,3,1,9717000.0
659,Apartment,3,3.0,Downtown,1962,2,0,8948000.0
1127,Apartment,1,2.5,Suburban,1999,3,0,10430000.0
1623,Apartment,3,1.0,Suburban,1996,3,1,12741000.0
33171,Agricultural Land,0,0.0,Downtown,1950,0,0,7833000.0
1356,Apartment,2,1.5,Downtown,1978,1,0,11635000.0
30832,Agricultural Land,0,0.0,Suburban,1950,0,0,5158000.0
1032,Apartment,2,1.5,Downtown,1966,3,1,10698000.0
1776,Apartment,1,2.0,Downtown,1969,2,1,13585000.0
3312,Penthouse,4,1.5,Downtown,1955,2,1,28778000.0
2200,Villa,5,1.0,Suburban,1971,2,1,23328000.0
3104,Independent House,4,2.5,Suburban,1958,2,1,23160000.0
3233,Independent House,4,3.0,Suburban,1981,1,1,23879000.0
4245,Villa,5,3.5,Downtown,1982,3,1,38574000.0
1204,Apartment,1,4.0,Suburban,2019,1,1,11100000.0
91132,Agricultural Land,0,0.0,Suburban,1950,0,0,12047000.0
186061,Agricultural Land,0,0.0,Suburban,1950,0,0,22323000.0
3263,Villa,5,2.5,Suburban,1998,3,0,30749000.0
1188,Apartment,1,1.0,Suburban,1979,1,0,9529000.0
4313,Villa,5,3.0,Suburban,1965,1,1,37322000.0
1045,Apartment,1,2.0,Suburban,2014,1,1,9180000.0
1400,Apartment,3,2.5,Downtown,1963,2,1,12183000.0
1696,Apartment,3,2.0,Suburban,2005,2,1,12681000.0
1928,Independent House,2,3.0,Suburban,1986,1,1,16924000.0
204113,Agricultural Land,0,0.0,Suburban,1950,0,0,24958000.0
3773,Villa,4,2.0,Suburban,1998,3,1,34289000.0
3864,Villa,4,1.0,Rural,1999,3,1,32639000.0
2554,Independent House,3,2.0,Rural,1985,2,0,18756000.0
1330,Apartment,1,1.5,Suburban,2001,1,1,10671000.0
1325,Independent House,3,4.0,Suburban,1972,2,0,13799000.0
174718,Agricultural Land,0,0.0,Downtown,1950,0,0,23687000.0
1212,Apartment,2,2.0,Suburban,2015,2,1,11068000.0
